SHA256,Name,Family,Notes
afb480e4ad0324585f1bf3beec7b1b89729f2af125842dc2dab10565aa814abe,CPMIVKP.html,agenttesla,https://api.telegram.org/bot1884223853:AAFLYXw5-3W9k1k0nY-fyJeUEh7dhx5xk78/
9b07a612f64bac56e72f95f96667b58bbcf7768e90baf72da6e128baff92a305,EDHUNMA.html,agenttesla,52.178.17.2:443
afb480e4ad0324585f1bf3beec7b1b89729f2af125842dc2dab10565aa814abe,JPNNXFN.html,agenttesla,https://api.telegram.org/bot1884223853:AAFLYXw5-3W9k1k0nY-fyJeUEh7dhx5xk78/
afb480e4ad0324585f1bf3beec7b1b89729f2af125842dc2dab10565aa814abe,KVVCLQY.html,agenttesla,https://api.telegram.org/bot1884223853:AAFLYXw5-3W9k1k0nY-fyJeUEh7dhx5xk78/
9b07a612f64bac56e72f95f96667b58bbcf7768e90baf72da6e128baff92a305,MGYYQDV.html,agenttesla,52.178.17.2:444
afb480e4ad0324585f1bf3beec7b1b89729f2af125842dc2dab10565aa814abe,MJRRYXY.html,agenttesla,https://api.telegram.org/bot1884223853:AAFLYXw5-3W9k1k0nY-fyJeUEh7dhx5xk78/
afb480e4ad0324585f1bf3beec7b1b89729f2af125842dc2dab10565aa814abe,MQJYGSC.html,agenttesla,https://api.telegram.org/bot1884223853:AAFLYXw5-3W9k1k0nY-fyJeUEh7dhx5xk78/
9b07a612f64bac56e72f95f96667b58bbcf7768e90baf72da6e128baff92a305,OTYCJLV.html,agenttesla,52.178.17.2:445
afb480e4ad0324585f1bf3beec7b1b89729f2af125842dc2dab10565aa814abe,PGPWSIJ.html,agenttesla,https://api.telegram.org/bot1884223853:AAFLYXw5-3W9k1k0nY-fyJeUEh7dhx5xk78/
afb480e4ad0324585f1bf3beec7b1b89729f2af125842dc2dab10565aa814abe,PSEWXHL.html,agenttesla,https://api.telegram.org/bot1884223853:AAFLYXw5-3W9k1k0nY-fyJeUEh7dhx5xk78/
9b07a612f64bac56e72f95f96667b58bbcf7768e90baf72da6e128baff92a305,PXXJAAH.html,agenttesla,52.178.17.2:446
9b07a612f64bac56e72f95f96667b58bbcf7768e90baf72da6e128baff92a305,RAXLVGR.html,agenttesla,52.178.17.2:447
9b07a612f64bac56e72f95f96667b58bbcf7768e90baf72da6e128baff92a305,RJJIGAO.html,agenttesla,52.178.17.2:448
afb480e4ad0324585f1bf3beec7b1b89729f2af125842dc2dab10565aa814abe,SXWTASU.html,agenttesla,https://api.telegram.org/bot1884223853:AAFLYXw5-3W9k1k0nY-fyJeUEh7dhx5xk78/
afb480e4ad0324585f1bf3beec7b1b89729f2af125842dc2dab10565aa814abe,VVNRYRN.html,agenttesla,https://api.telegram.org/bot1884223853:AAFLYXw5-3W9k1k0nY-fyJeUEh7dhx5xk78/
afb480e4ad0324585f1bf3beec7b1b89729f2af125842dc2dab10565aa814abe,WNFYUBP.html,agenttesla,https://api.telegram.org/bot1884223853:AAFLYXw5-3W9k1k0nY-fyJeUEh7dhx5xk78/
faa74dfba75ffa86ae94bed9340875325514b4ad51fb4cbbccee8fe1ebb1ed33,IRJWBPD.html,agenttesla,mail.capicor.com
faa74dfba75ffa86ae94bed9340875325514b4ad51fb4cbbccee8fe1ebb1ed33,JLDAMCU.html,agenttesla,mail.capicor.com
aa933cba05844285df78f53b80f11693fde6cb964876e7015cd342f413d46196,NNPIBQY.html,asyncrat,
3117f558e9f7c3cdc08400a45a2e176c69deb2c7e895cd74d0e613ee12ff4e71,TGRSNNM.html,asyncrat,
64e56fbf1355edc3e00e8da5ece7cade46d8803945c5fbb842bc161b0674f28f,PCWTWSI.html,asyncrat,omahaclothingline[.webredirect.]org:1819
6e14751bf3ea87216f5d25cb09b7cfaba3f36c3cb69a5c1c399fc0febebf932f,KGSSGPH.html,AveMaria,51.89.157.228:5200
f712d6a7c1b8cd50ab3ae92115b3ef771a32e4e2663b2d0d75fda65512fec088,OWMLATN.html,AveMaria,C2: 151.106.19.203:5204
6d84e678810bd95fca73f9ca132b8f8748da8440a45a33bd8923ffe10d26eadb,CYFXHBF.html,Bitrat,storage.nsupdate.info:8973
55df2343416a7826cf7508b45927d4f4bb71b2c777f213931da3677d87910ff9,JOWKBHS.html,Darkcloud Stealer,
21e6d1415a8b72e228861b36b6cd143149ebb6d32414e89089551c50f9618273,FTUIEPB.html,Darkcloud Stealer,yandex
